text,category
Outlook keeps freezing while composing a new message,Email
Laptop screen has a visible crack affecting display,Hardware
My mouse stopped working suddenly,Hardware
Need admin help to reset password for a shared account,Password Reset
Security team flagged my account and reset my password,Password Reset
My browser extension for the CRM stopped working,Software
Network segmentation is blocking access between departments,Network
My charger is not powering the laptop anymore,Hardware
The inventory system shows outdated stock numbers,Software
I think my account has been hacked,Security
My computer is showing ransomware warning messages,Security
My account sent spam emails without my knowledge,Security
Getting limited connectivity error on network,Network
Company data appeared on an external file sharing site,Security
I keep getting disconnected from shared network drives,Network
Password reset tool is showing a server error,Password Reset
I'm locked out of my account after too many failed attempts,Password Reset
VPN server is unreachable according to the error message,VPN
Printer paper tray keeps jamming on every print job,Hardware
Split tunneling is not working properly on my VPN,VPN
My password reset request was never approved by IT,Password Reset
Battery drains extremely fast on my laptop,Hardware
Password reset form won't accept my new password,Password Reset
Network printer is not reachable from my desk,Network
I noticed unfamiliar devices logged into my account,Security
Password reset page is showing a blank screen,Password Reset
Company network is blocking access to a needed website,Network
Need help installing the VPN client on my home PC,VPN
My laptop hinge feels loose and unstable,Hardware
My USB drive triggered a security alert when plugged in,Security
I can't ping any internal servers from my desk,Network
Speakers are producing no sound at all,Hardware
VPN keeps prompting to reinstall network drivers,VPN
VPN client shows a certificate error on startup,VPN
I can't install the new accounting software on my laptop,Software
The CRM software is throwing an error on login,Software
My account is asking for a password change I didn't request,Password Reset
The remote support software won't connect to client machines,Software
Software keeps freezing during large file uploads,Software
My account received a warning about a login from an unrecognized browser,Security
I need to report an employee sharing sensitive data externally,Security
External speakers won't turn on at all,Hardware
VPN login page keeps redirecting in a loop,VPN
Connected to VPN but internal wiki is unreachable,VPN
Network switch in my area seems to be down,Network
Reset link says it has already been used,Password Reset
Unable to reset password because my phone number changed,Password Reset
Laptop takes an unusually long time to boot up,Hardware
I need help uninstalling an old version of the software,Software
Network configuration seems to have reset overnight,Network
Unauthorized charge appeared after a data breach warning,Security
External hard drive is not showing up on my computer,Hardware
Forgot the password for my work laptop login,Password Reset
My new password doesn't meet the complexity requirements,Password Reset
VPN gateway appears to be down company wide,VPN
Network cable in my office seems to be damaged,Network
I need to reset the password on a service account,Password Reset
Sent items folder is not showing my recent emails,Email
I can't access cloud storage due to network timeout,Network
Laptop keyboard tray is stuck and won't slide,Hardware
I want to report a potential insider threat,Security
Network speed test shows far lower than expected,Network
My badge access was used at a location I never visited,Security
My laptop can't find the office wifi network,Network
The internet is down in the entire office,Network
VPN setup instructions are not working on my Mac,VPN
Outlook is showing duplicate emails in my inbox,Email
Laptop battery is not holding a charge overnight,Hardware
My external monitor shows a resolution issue,Hardware
Ethernet cable is connected but no internet access,Network
I think someone is monitoring my computer activity,Security
New password is being rejected as too weak,Password Reset
Emails are going straight to spam for no reason,Email
My webcam light turned on without me starting a call,Security
Outlook shows a certificate warning every time it opens,Email
Unable to reach internal servers after connecting to VPN,VPN
My antivirus flagged a suspicious file,Security
My mouse cursor is jumping around unpredictably,Hardware
I can't attach files larger than a few megabytes,Email
Need to reset password for a newly created employee account,Password Reset
My login credentials seem to have been reset without my request,Password Reset
Shared calendar invites are not appearing for my team,Email
VPN is extremely slow today,VPN
Password reset is required but the button is greyed out,Password Reset
Outlook keeps crashing when I open it,Email
Laptop lid sensor is not turning the screen off properly,Hardware
Laptop vents feel extremely hot to the touch,Hardware
My presentation software won't export to PDF correctly,Software
My out of office message is not being sent automatically,Email
I need help setting up a new distribution group,Email
My webcam is not being detected by the system,Hardware
An unknown device was granted admin rights on our network,Security
Outlook is stuck on loading profile at startup,Email
My contacts list disappeared from Outlook,Email
My network adapter shows a driver error,Network
Unable to launch VPN client after a Windows update,VPN
Unable to send emails to external addresses,Email
Unrecognized software was installed on my machine overnight,Security
VPN password is not being accepted,VPN
Laptop screen is flickering constantly,Hardware
I want to report a colleague's account behaving suspiciously,Security
My time tracking app is not syncing entries properly,Software
Unable to browse the internet despite being connected,Network
Cisco AnyConnect VPN won't launch,VPN
Password field won't accept special characters during reset,Password Reset
My email password isn't syncing with my phone,Password Reset
I keep losing connection to the VPN through this network,Network
Emails from a specific sender always go to junk,Email
Laptop is overheating and shutting down,Hardware
Can you send me a password reset link,Password Reset
The helpdesk software is not assigning tickets automatically,Software
I can't forward emails to my personal account,Email
Wireless network is not showing up on my laptop,Network
VPN blocks me from accessing my personal email,VPN
Wifi signal is extremely weak on the second floor,Network
My inbox is showing an error message,Email
Outlook rules are not filtering emails correctly,Email
Outlook is not sending or receiving emails,Email
Getting a DNS resolution error while connected to VPN,VPN
Docking station fails to detect my second monitor,Hardware
I received a suspicious text pretending to be from the security team,Security
Software update failed and now the app won't launch,Software
My monitor has dead pixels in the corner,Hardware
Printer is jamming every time I try to print,Hardware
Antivirus scan found multiple threats on my desktop,Security
Microsoft Word won't open at all,Software
Password reset process is stuck on the verification step,Password Reset
Need to report a security incident,Security
I suspect my credentials were exposed in a data leak,Security
Network policy is preventing access to a shared printer,Network
Password reset email never arrived in my inbox,Password Reset
Laptop fan is making a loud grinding noise,Hardware
My account shows locked even though I just reset the password,Password Reset
I need VPN access set up for remote work,VPN
My spreadsheet formulas stopped calculating correctly,Software
Software license key is being rejected during activation,Software
Network firewall is blocking a required application port,Network
VPN icon shows connected but I have no internal access,VPN
VPN keeps disconnecting every few minutes,VPN
My desktop tower is making unusual clicking sounds,Hardware
Account locked and need password reset urgently,Password Reset
The VPN connection times out constantly,VPN
Password reset link was sent to the wrong email address,Password Reset
Docking station lights are on but nothing connects,Hardware
Wifi router needs to be restarted but I don't have access,Network
I need a new software license activated,Software
VPN connection drops whenever my laptop goes to sleep,VPN
I accidentally deleted an important email and need it recovered,Email
I can't reply to emails using the mobile app,Email
The video conferencing app won't share my screen,Software
Application update requires a restart that keeps failing,Software
Laptop charger cable appears to be frayed,Hardware
Unable to access the internal company website,Network
The survey tool is not saving responses correctly,Software
Network drive is not accessible from my computer,Network
Need to reset password for the HR portal,Password Reset
